EmployeeKey,ParentEmployeeKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
1,18,11,Guy,Gilbert,R,False,Production Technician - WC60,2006-01-28,1981-11-12,guy1@adventure-works.com,320-555-0195,M,Guy Gilbert,320-555-0195,False,M,1,12.45,21,30,True,False,Production,2006-01-28,,Current
2,7,11,Kevin,Brown,F,False,Marketing Assistant,2006-08-26,1986-12-01,kevin0@adventure-works.com,150-555-0189,S,Kevin Brown,150-555-0189,False,M,2,13.4615,42,41,True,False,Marketing,2006-08-26,,Current
3,14,11,Roberto,Tamburello,,False,Engineering Manager,2007-06-11,1974-06-12,roberto0@adventure-works.com,212-555-0187,M,Roberto Tamburello,212-555-0187,True,M,2,43.2692,2,21,True,False,Engineering,2007-06-11,,Current
4,3,11,Rob,Walters,,False,Senior Tool Designer,2007-07-05,1974-07-23,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,False,M,2,29.8462,48,80,True,False,Tool Design,2007-07-05,2009-12-28,
5,3,11,Rob,Walters,,False,Senior Tool Designer,2007-07-05,1974-07-23,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,False,M,2,29.8462,48,80,True,False,Tool Design,2009-12-28,,Current
6,267,11,Thierry,D'Hers,B,False,Tool Designer,2007-07-11,1959-02-26,thierry0@adventure-works.com,168-555-0183,M,Thierry D'Hers,168-555-0183,False,M,2,25,9,24,True,False,Tool Design,2007-07-11,,Current
7,112,11,David,Bradley,M,False,Marketing Manager,2007-07-20,1974-10-17,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,True,M,2,37.5,40,40,True,False,Marketing,2007-07-20,2009-02-11,
8,112,11,David,Bradley,M,False,Marketing Manager,2007-07-20,1974-10-17,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,True,M,2,37.5,40,40,True,False,Marketing,2009-02-12,,Current
9,23,11,JoLynn,Dobney,M,False,Production Supervisor - WC60,2007-07-26,1955-08-16,jolynn0@adventure-works.com,903-555-0145,S,JoLynn Dobney,903-555-0145,False,F,2,25,82,61,True,False,Production,2007-07-26,,Current
10,189,11,Ruth,Ellerbrock,Ann,False,Production Technician - WC10,2007-08-06,1956-01-03,ruth0@adventure-works.com,145-555-0130,M,Ruth Ellerbrock,145-555-0130,False,F,1,13.45,83,61,True,False,Production,2007-08-06,,Current
11,3,11,Gail,Erickson,A,False,Design Engineer,2007-08-06,1952-04-27,gail0@adventure-works.com,849-555-0139,M,Gail Erickson,849-555-0139,True,F,2,32.6923,5,22,True,False,Engineering,2007-08-06,,Current
